date_received,product,sub_product,issue,channel,company_response,timely_response,consumer_disputed,complaint_id,client_id
6/10/2014,Bank account or service,Other bank product/service,"Account opening, closing, or management",Phone Support,Closed with explanation,Yes,No,CR0887544,C00003494
5/28/2014,Credit card,,Closing/Cancelling account,Phone Support,Closed with explanation,Yes,Yes,CR0871335,C00013480
5/27/2014,Credit card,,Billing disputes,Mobile App,Closed with explanation,Yes,Yes,CR0869660,C00000985
5/22/2014,Bank account or service,Checking account,Deposits and withdrawals,Branch,Closed with explanation,Yes,No,CR0865818,C00004217
5/19/2014,Bank account or service,Other bank product/service,"Account opening, closing, or management",Branch,Closed with explanation,Yes,Yes,CR0858349,C00003164
5/16/2014,Bank account or service,Checking account,Deposits and withdrawals,Mobile App,Closed with monetary relief,Yes,No,CR0855237,C00004311
5/14/2014,Bank account or service,Checking account,Deposits and withdrawals,Phone Support,Closed with monetary relief,Yes,No,CR0853368,C00003777
5/7/2014,Bank account or service,Checking account,Deposits and withdrawals,Email,Closed with explanation,Yes,No,CR0842671,C00003929
5/5/2014,Bank account or service,Checking account,"Account opening, closing, or management",Branch,Closed with monetary relief,Yes,No,CR0838199,C00001654
4/24/2014,Credit card,,Delinquent account,Branch,Closed with explanation,Yes,No,CR0824833,C00003199
4/11/2014,Bank account or service,Other bank product/service,"Account opening, closing, or management",Email,Closed with explanation,Yes,Yes,CR0804364,C00003340
4/9/2014,Bank account or service,Other bank product/service,"Account opening, closing, or management",Branch,Closed with explanation,Yes,No,CR0800215,C00001443
4/5/2014,Bank account or service,Checking account,Using a debit or ATM card,Email,Closed with explanation,Yes,Yes,CR0795200,C00001772
4/4/2014,Bank account or service,Checking account,Deposits and withdrawals,Email,Closed with explanation,Yes,No,CR0793529,C00002031
4/2/2014,Bank account or service,Savings account,"Account opening, closing, or management",Email,Closed with explanation,Yes,No,CR0789608,C00000162
3/31/2014,Bank account or service,Checking account,"Account opening, closing, or management",Mobile App,Closed with non-monetary relief,Yes,No,CR0785224,C00002583
3/28/2014,Bank account or service,Other bank product/service,"Account opening, closing, or management",Email,Closed with explanation,Yes,No,CR0783255,C00003516
3/6/2014,Bank account or service,Checking account,"Account opening, closing, or management",Mobile App,Closed with monetary relief,Yes,No,CR0746087,C00010145
3/3/2014,Bank account or service,Other bank product/service,"Account opening, closing, or management",Mobile App,Closed with monetary relief,Yes,No,CR0739756,C00000004
2/21/2014,Bank account or service,Checking account,Deposits and withdrawals,Branch,Closed with explanation,Yes,Yes,CR0725940,C00001704
2/18/2014,Bank account or service,Other bank product/service,Deposits and withdrawals,Phone Support,Closed with explanation,Yes,Yes,CR0718616,C00004143
2/11/2014,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",Mobile App,Closed with explanation,Yes,No,CR0707883,C00002904
2/10/2014,Bank account or service,Checking account,Deposits and withdrawals,Branch,Closed with explanation,Yes,Yes,CR0705878,C00000305
2/5/2014,Bank account or service,Checking account,Deposits and withdrawals,Mobile App,Closed with non-monetary relief,Yes,Yes,CR0702038,C00003308
1/29/2014,Bank account or service,Checking account,"Account opening, closing, or management",Branch,Closed with explanation,Yes,No,CR0689939,C00003582
1/28/2014,Bank account or service,Other bank product/service,"Account opening, closing, or management",Branch,Closed with explanation,Yes,No,CR0688050,C00007800
1/23/2014,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",Phone Support,Closed with explanation,Yes,No,CR0682046,C00004654
1/8/2014,Credit card,,Cash advance,Branch,Closed with explanation,Yes,No,CR0659192,C00001845
12/24/2013,Bank account or service,Other bank product/service,"Account opening, closing, or management",Mobile App,Closed with explanation,Yes,Yes,CR0644906,C00000075
12/24/2013,Bank account or service,Checking account,"Making/receiving payments, sending money",Phone Support,Closed with explanation,Yes,No,CR0644531,C00001206
11/19/2013,Bank account or service,Other bank product/service,"Account opening, closing, or management",Branch,Closed with explanation,Yes,Yes,CR0603229,C00003622
11/6/2013,Bank account or service,Checking account,"Account opening, closing, or management",Branch,Closed with explanation,Yes,No,CR0587861,C00004457
10/28/2013,Credit card,,Identity theft / Fraud / Embezzlement,Phone Support,Closed with explanation,Yes,Yes,CR0574864,C00003558
10/23/2013,Bank account or service,Checking account,Deposits and withdrawals,Mobile App,Closed with explanation,Yes,Yes,CR0567779,C00011768
10/17/2013,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",Phone Support,Closed with explanation,Yes,Yes,CR0561186,C00000738
10/15/2013,Credit card,,Balance transfer,Phone Support,Closed with explanation,Yes,No,CR0559272,C00004673
9/30/2013,Credit card,,Application processing delay,Email,Closed with explanation,Yes,No,CR0547876,C00008667
9/29/2013,Bank account or service,Savings account,Problems caused by my funds being low,Mobile App,Closed with monetary relief,Yes,Yes,CR0547152,C00003563
9/12/2013,Bank account or service,Checking account,"Making/receiving payments, sending money",Mobile App,Closed with explanation,Yes,No,CR0524922,C00010040
9/7/2013,Bank account or service,Checking account,"Account opening, closing, or management",Branch,Closed with explanation,Yes,No,CR0517670,C00001782
9/3/2013,Bank account or service,Checking account,"Account opening, closing, or management",Branch,Closed with explanation,Yes,No,CR0512719,C00003135
8/29/2013,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",Phone Support,Closed with explanation,Yes,No,CR0508374,C00001629
8/24/2013,Bank account or service,Checking account,Using a debit or ATM card,Mobile App,Closed with monetary relief,Yes,No,CR0503464,C00012358
8/22/2013,Bank account or service,Savings account,"Account opening, closing, or management",Branch,Closed with explanation,Yes,Yes,CR0499187,C00010828
8/22/2013,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",Mobile App,Closed with explanation,Yes,No,CR0499118,C00002779
8/22/2013,Bank account or service,Checking account,Deposits and withdrawals,Phone Support,Closed with explanation,Yes,No,CR0500647,C00004539
8/15/2013,Bank account or service,Checking account,Problems caused by my funds being low,Mobile App,Closed with explanation,Yes,Yes,CR0490204,C00001392
8/12/2013,Bank account or service,Checking account,Problems caused by my funds being low,Email,Closed with explanation,Yes,No,CR0487225,C00004708
7/23/2013,Bank account or service,Checking account,"Account opening, closing, or management",Branch,Closed with explanation,Yes,No,CR0480773,C00002323
7/11/2013,Credit card,,Credit line increase/decrease,Phone Support,Closed with monetary relief,Yes,No,CR0454551,C00000731
7/11/2013,Bank account or service,Checking account,Using a debit or ATM card,Phone Support,Closed with monetary relief,Yes,No,CR0479451,C00004084
7/11/2013,Bank account or service,Checking account,"Account opening, closing, or management",Phone Support,Closed with explanation,Yes,Yes,CR0480573,C00001444
7/1/2013,Bank account or service,Checking account,Using a debit or ATM card,Mobile App,Closed with monetary relief,Yes,Yes,CR0447457,C00001672
6/24/2013,Credit card,,Transaction issue,Mobile App,Closed with explanation,Yes,Yes,CR0440370,C00002289
6/24/2013,Credit card,,Delinquent account,Mobile App,Closed with explanation,Yes,No,CR0440277,C00001712
6/20/2013,Credit card,,APR or interest rate,Mobile App,Closed with monetary relief,Yes,No,CR0437926,C00003856
6/17/2013,Bank account or service,Other bank product/service,"Account opening, closing, or management",Phone Support,Closed with explanation,Yes,Yes,CR0434587,C00004267
6/10/2013,Bank account or service,Checking account,Deposits and withdrawals,Mobile App,Closed with monetary relief,Yes,No,CR0428430,C00002344
6/7/2013,Bank account or service,Checking account,"Account opening, closing, or management",Branch,Closed with explanation,Yes,No,CR0426655,C00004551
5/31/2013,Credit card,,Billing disputes,Phone Support,Closed with explanation,Yes,Yes,CR0420867,C00000474
5/29/2013,Credit card,,Rewards,Email,Closed with explanation,Yes,Yes,CR0418611,C00000019
5/28/2013,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",Email,Closed with monetary relief,Yes,No,CR0418479,C00003544
5/17/2013,Bank account or service,Checking account,"Making/receiving payments, sending money",Mobile App,Closed with monetary relief,Yes,No,CR0411108,C00000008
5/10/2013,Bank account or service,Checking account,"Account opening, closing, or management",Email,Closed with monetary relief,Yes,No,CR0404275,C00012416
5/10/2013,Bank account or service,Checking account,Using a debit or ATM card,Phone Support,Closed with explanation,Yes,Yes,CR0404310,C00002997
4/29/2013,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",Email,Closed with non-monetary relief,Yes,Yes,CR0394315,C00003939
4/3/2013,Credit card,,Billing disputes,Branch,Closed with explanation,Yes,Yes,CR0373513,C00003320
4/1/2013,Credit card,,Credit reporting,Phone Support,Closed with explanation,Yes,No,CR0371074,C00004309
3/29/2013,Bank account or service,Checking account,Deposits and withdrawals,Email,Closed with explanation,Yes,No,CR0369207,C00002264
3/27/2013,Credit card,,Late fee,Mobile App,Closed with explanation,Yes,No,CR0367356,C00000339
3/21/2013,Bank account or service,Checking account,"Account opening, closing, or management",Email,Closed with explanation,Yes,Yes,CR0361734,C00003159
3/21/2013,Bank account or service,(CD) Certificate of deposit,"Making/receiving payments, sending money",Phone Support,Closed with explanation,Yes,Yes,CR0362356,C00001719
3/8/2013,Credit card,,Billing disputes,Phone Support,Closed with explanation,Yes,Yes,CR0347128,C00004072
3/1/2013,Credit card,,Closing/Cancelling account,Mobile App,Closed with explanation,Yes,No,CR0338719,C00003684
2/28/2013,Credit card,,Credit line increase/decrease,Email,Closed with explanation,Yes,No,CR0338363,C00000014
2/22/2013,Bank account or service,Checking account,"Making/receiving payments, sending money",Phone Support,Closed with explanation,Yes,No,CR0327012,C00002588
2/22/2013,Bank account or service,Checking account,"Account opening, closing, or management",Mobile App,Closed with monetary relief,Yes,No,CR0327025,C00000451
2/20/2013,Credit card,,Billing disputes,Phone Support,Closed with explanation,Yes,No,CR0322720,C00004230
2/14/2013,Credit card,,Credit reporting,Mobile App,Closed with explanation,Yes,No,CR0315956,C00004275
2/11/2013,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",Branch,Closed with explanation,Yes,No,CR0314152,C00002872
2/8/2013,Credit card,,Identity theft / Fraud / Embezzlement,Branch,Closed with explanation,Yes,Yes,CR0313086,C00002454
2/7/2013,Bank account or service,Checking account,"Making/receiving payments, sending money",Email,Closed with explanation,Yes,No,CR0310506,C00001996
2/4/2013,Bank account or service,Checking account,"Account opening, closing, or management",Mobile App,Closed with explanation,Yes,No,CR0294434,C00002563
2/2/2013,Bank account or service,Other bank product/service,"Making/receiving payments, sending money",Branch,Closed with explanation,Yes,No,CR0285804,C00000653
2/1/2013,Credit card,,Credit reporting,Email,Closed with explanation,Yes,Yes,CR0283220,C00004321
1/28/2013,Bank account or service,Savings account,"Account opening, closing, or management",Email,Closed with explanation,Yes,No,CR0277914,C00002550
1/24/2013,Bank account or service,Checking account,Deposits and withdrawals,Branch,Closed with explanation,Yes,Yes,CR0258067,C00000629
1/24/2013,Bank account or service,Checking account,Problems caused by my funds being low,Branch,Closed with monetary relief,Yes,No,CR0256410,C00000775
1/23/2013,Bank account or service,Checking account,Deposits and withdrawals,Mobile App,Closed with monetary relief,Yes,No,CR0255281,C00000606
1/23/2013,Bank account or service,Other bank product/service,Deposits and withdrawals,Mobile App,Closed with explanation,Yes,No,CR0257240,C00004930
1/17/2013,Credit card,,Credit reporting,Branch,Closed with explanation,Yes,No,CR0245763,C00003085
1/14/2013,Bank account or service,Other bank product/service,Using a debit or ATM card,Mobile App,Closed with explanation,Yes,No,CR0230239,C00000080
1/12/2013,Bank account or service,Checking account,Deposits and withdrawals,Branch,Closed with monetary relief,Yes,No,CR0229354,C00010662
1/12/2013,Bank account or service,Checking account,Problems caused by my funds being low,Mobile App,Closed with explanation,Yes,Yes,CR0229326,C00008276
1/7/2013,Bank account or service,Checking account,Deposits and withdrawals,Phone Support,Closed with monetary relief,Yes,No,CR0223678,C00000540
1/4/2013,Bank account or service,Checking account,Problems caused by my funds being low,Branch,Closed with explanation,Yes,Yes,CR0221502,C00002118
1/4/2013,Bank account or service,Checking account,Deposits and withdrawals,Branch,Closed with monetary relief,Yes,No,CR0222601,C00001406
12/31/2012,Credit card,,Identity theft / Fraud / Embezzlement,Mobile App,Closed with explanation,No,,CR0220184,C00004468
12/20/2012,Bank account or service,Savings account,"Account opening, closing, or management",Phone Support,Closed with explanation,Yes,Yes,CR0214774,C00003078
12/18/2012,Credit card,,Billing disputes,Branch,Closed with explanation,Yes,No,CR0212889,C00002587
12/13/2012,Bank account or service,Checking account,"Account opening, closing, or management",Mobile App,Closed with explanation,Yes,No,CR0209127,C00002542
12/10/2012,Credit card,,Credit reporting,Email,Closed with non-monetary relief,Yes,No,CR0206371,C00002373
11/29/2012,Credit card,,Billing disputes,Mobile App,Closed with non-monetary relief,Yes,No,CR0201107,C00002178
11/26/2012,Bank account or service,Checking account,"Account opening, closing, or management",Mobile App,Closed with explanation,Yes,No,CR0197192,C00004088
11/20/2012,Credit card,,Identity theft / Fraud / Embezzlement,Mobile App,Closed with explanation,Yes,Yes,CR0194736,C00001495
11/13/2012,Credit card,,Balance transfer,Email,Closed with explanation,Yes,Yes,CR0189436,C00000642
11/6/2012,Credit card,,Closing/Cancelling account,Branch,Closed with explanation,Yes,No,CR0185270,C00003225
10/31/2012,Credit card,,Credit reporting,Mobile App,Closed with explanation,Yes,No,CR0182259,C00003970
10/15/2012,Bank account or service,Checking account,"Account opening, closing, or management",Phone Support,Closed with explanation,Yes,No,CR0170715,C00004462
9/28/2012,Credit card,,Other,Branch,Closed with explanation,No,No,CR0161683,C00004090
9/5/2012,Bank account or service,Checking account,Deposits and withdrawals,Email,Closed with explanation,Yes,Yes,CR0146975,C00000633
8/30/2012,Bank account or service,Checking account,"Making/receiving payments, sending money",Phone Support,Closed with explanation,Yes,Yes,CR0144417,C00003864
8/20/2012,Bank account or service,Checking account,Deposits and withdrawals,Branch,Closed with monetary relief,Yes,No,CR0138644,C00002604
8/17/2012,Bank account or service,Checking account,"Account opening, closing, or management",Email,Closed with monetary relief,Yes,Yes,CR0138235,C00004432
8/8/2012,Credit card,,Billing disputes,Branch,Closed with explanation,Yes,No,CR0132727,C00001116
8/6/2012,Credit card,,Rewards,Mobile App,Closed with explanation,Yes,No,CR0130587,C00003769
8/6/2012,Bank account or service,Checking account,Using a debit or ATM card,Email,Closed with monetary relief,Yes,No,CR0130233,C00005245
7/20/2012,Bank account or service,Checking account,Deposits and withdrawals,Phone Support,Closed with explanation,Yes,Yes,CR0121560,C00001909
6/27/2012,Credit card,,Credit reporting,Mobile App,Closed with explanation,Yes,Yes,CR0108967,C00002452
6/8/2012,Bank account or service,Checking account,"Account opening, closing, or management",Mobile App,Closed with non-monetary relief,Yes,Yes,CR0097731,C00004402
6/5/2012,Bank account or service,Checking account,"Account opening, closing, or management",Mobile App,Closed with non-monetary relief,Yes,Yes,CR0094377,C00001679
5/31/2012,Credit card,,Credit reporting,Branch,Closed with explanation,Yes,No,CR0090075,C00000078
5/31/2012,Bank account or service,Checking account,Deposits and withdrawals,Mobile App,Closed with explanation,No,Yes,CR0091084,C00001630
5/30/2012,Credit card,,Billing disputes,Mobile App,Closed with monetary relief,No,Yes,CR0089542,C00011362
4/11/2012,Bank account or service,Checking account,"Making/receiving payments, sending money",Branch,Closed with relief,Yes,Yes,CR0054494,C00003989
4/11/2012,Bank account or service,Savings account,"Account opening, closing, or management",Mobile App,Closed with relief,Yes,No,CR0044568,C00011093
3/26/2012,Credit card,,Billing disputes,Branch,Closed with relief,Yes,Yes,CR0027693,C00002160
3/13/2012,Bank account or service,Checking account,Deposits and withdrawals,Branch,Closed with relief,Yes,No,CR0034610,C00001905
2/6/2012,Credit card,,Credit reporting,Mobile App,Closed without relief,Yes,Yes,CR0013527,C00004239
1/18/2012,Credit card,,Overlimit fee,Branch,Closed with relief,Yes,No,CR0014704,C00003656
4/5/2017,Bank account or service,Other bank product/service,"Account opening, closing, or management",Email,Closed with explanation,Yes,,CR2421250,C00004012
3/28/2017,Bank account or service,Checking account,Deposits and withdrawals,Phone Support,In progress,Yes,,CR2406895,C00002321
3/28/2017,Bank account or service,Other bank product/service,"Account opening, closing, or management",Phone Support,In progress,Yes,,CR2407613,C00003409
3/27/2017,Bank account or service,Other bank product/service,"Account opening, closing, or management",Email,Closed with explanation,Yes,,CR2406312,C00000569
3/24/2017,Bank account or service,Checking account,Deposits and withdrawals,Mobile App,In progress,Yes,,CR2403665,C00000759
3/23/2017,Credit card,,Other,Branch,Closed with explanation,Yes,,CR2401648,C00000492
3/22/2017,Credit card,,Other,Branch,Closed with explanation,Yes,,CR2398513,C00000445
3/22/2017,Bank account or service,Other bank product/service,"Making/receiving payments, sending money",Phone Support,In progress,Yes,,CR2399597,C00000873
3/22/2017,Bank account or service,Other bank product/service,"Account opening, closing, or management",Phone Support,In progress,Yes,,CR2398557,C00008333
3/21/2017,Credit card,,Billing disputes,Branch,In progress,Yes,,CR2397904,C00000672
3/21/2017,Bank account or service,Checking account,Problems caused by my funds being low,Branch,In progress,Yes,,CR2397006,C00004236
3/20/2017,Credit card,,Other,Email,In progress,Yes,,CR2394492,C00012383
3/20/2017,Bank account or service,Other bank product/service,"Account opening, closing, or management",Mobile App,Closed with explanation,Yes,,CR2394945,C00003039
3/15/2017,Bank account or service,Other bank product/service,"Account opening, closing, or management",Mobile App,Closed with monetary relief,Yes,,CR2388201,C00009930
3/14/2017,Credit card,,Other,Branch,Closed with explanation,Yes,,CR2387263,C00004233
3/13/2017,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",Email,Closed with explanation,Yes,,CR2384632,C00005606
3/10/2017,Bank account or service,Checking account,Using a debit or ATM card,Branch,Closed with monetary relief,Yes,,CR2381178,C00002656
3/9/2017,Bank account or service,Other bank product/service,"Account opening, closing, or management",Email,In progress,Yes,,CR2379569,C00005321
3/8/2017,Credit card,,Closing/Cancelling account,Email,In progress,Yes,,CR2378467,C00013201
3/8/2017,Bank account or service,Other bank product/service,"Account opening, closing, or management",Phone Support,Closed with explanation,Yes,,CR2378054,C00003127
3/2/2017,Bank account or service,Other bank product/service,Problems caused by my funds being low,Phone Support,Closed with monetary relief,Yes,,CR2368744,C00001998
2/27/2017,Bank account or service,Savings account,"Account opening, closing, or management",Email,Closed with monetary relief,Yes,,CR2362994,C00002171
2/17/2017,Credit card,,Identity theft / Fraud / Embezzlement,Phone Support,Closed with explanation,Yes,,CR2349389,C00004468
2/17/2017,Bank account or service,Checking account,"Account opening, closing, or management",Phone Support,Closed with explanation,Yes,,CR2350802,C00002180
2/16/2017,Bank account or service,Savings account,"Account opening, closing, or management",Email,Closed with explanation,Yes,,CR2348744,C00000751
2/14/2017,Credit card,,Identity theft / Fraud / Embezzlement,Email,Closed with explanation,Yes,,CR2344749,C00000881
2/14/2017,Bank account or service,Other bank product/service,"Account opening, closing, or management",Email,In progress,Yes,,CR2344048,C00002156
2/9/2017,Bank account or service,Other bank product/service,"Account opening, closing, or management",Mobile App,Closed with explanation,Yes,,CR2336216,C00004288
2/8/2017,Credit card,,Identity theft / Fraud / Embezzlement,Phone Support,Closed with explanation,Yes,,CR2335191,C00002387
2/8/2017,Bank account or service,Other bank product/service,"Making/receiving payments, sending money",Mobile App,Closed with explanation,Yes,,CR2333445,C00000378
2/7/2017,Bank account or service,Other bank product/service,"Making/receiving payments, sending money",Email,Closed with monetary relief,Yes,,CR2331971,C00000622
2/7/2017,Bank account or service,Other bank product/service,Deposits and withdrawals,Email,In progress,Yes,,CR2331412,C00005579
2/3/2017,Credit card,,Billing disputes,Email,Closed with monetary relief,Yes,,CR2326406,C00003077
2/2/2017,Credit card,,Payoff process,Branch,Closed with explanation,Yes,,CR2322711,C00003059
2/1/2017,Bank account or service,Other bank product/service,"Account opening, closing, or management",Email,Closed with explanation,Yes,,CR2323490,C00001038
1/31/2017,Bank account or service,Other bank product/service,Deposits and withdrawals,Phone Support,Closed with explanation,Yes,,CR2319723,C00002593
1/31/2017,Bank account or service,Other bank product/service,"Account opening, closing, or management",Email,Closed with explanation,Yes,,CR2319809,C00004223
1/26/2017,Bank account or service,Other bank product/service,Deposits and withdrawals,Email,Closed with explanation,Yes,,CR2313440,C00002061
1/25/2017,Credit card,,Billing disputes,Phone Support,Closed with explanation,Yes,,CR2311310,C00000491
1/25/2017,Credit card,,Closing/Cancelling account,Mobile App,Closed with explanation,Yes,,CR2310424,C00002794
1/25/2017,Credit card,,Transaction issue,Branch,Closed with explanation,Yes,No,CR2311024,C00001567
1/19/2017,Credit card,,Closing/Cancelling account,Phone Support,Closed with non-monetary relief,Yes,No,CR2298405,C00002013
1/19/2017,Bank account or service,Other bank product/service,"Account opening, closing, or management",Email,Closed with explanation,Yes,No,CR2295998,C00000987
1/18/2017,Credit card,,Closing/Cancelling account,Mobile App,Closed with explanation,Yes,Yes,CR2293843,C00001333
1/17/2017,Bank account or service,Other bank product/service,"Account opening, closing, or management",Branch,Closed with explanation,Yes,No,CR2291907,C00003280
1/10/2017,Credit card,,Identity theft / Fraud / Embezzlement,Phone Support,Closed with monetary relief,Yes,No,CR2283829,C00003284
1/9/2017,Bank account or service,Checking account,Using a debit or ATM card,Email,Closed with explanation,Yes,No,CR2280052,C00001632
1/6/2017,Bank account or service,Other bank product/service,"Account opening, closing, or management",Phone Support,Closed,Yes,No,CR2277705,C00004459
1/4/2017,Bank account or service,Other bank product/service,"Account opening, closing, or management",Branch,Closed with explanation,Yes,No,CR2275295,C00003927
1/3/2017,Credit card,,Customer service / Customer relations,Phone Support,Closed with explanation,Yes,No,CR2272079,C00002344
1/3/2017,Bank account or service,Other bank product/service,Deposits and withdrawals,Mobile App,Closed with explanation,Yes,No,CR2271991,C00001717
12/28/2016,Credit card,,Billing disputes,Mobile App,Closed with explanation,Yes,Yes,CR2267015,C00003283
12/22/2016,Credit card,,Identity theft / Fraud / Embezzlement,Mobile App,Closed with explanation,Yes,No,CR2261646,C00011978
12/21/2016,Credit card,,Billing disputes,Phone Support,Closed with explanation,Yes,No,CR2258943,C00004758
12/21/2016,Credit card,,Identity theft / Fraud / Embezzlement,Branch,Closed with monetary relief,Yes,No,CR2259376,C00004307
12/20/2016,Bank account or service,Other bank product/service,"Account opening, closing, or management",Phone Support,Closed with explanation,Yes,No,CR2258552,C00004257
12/14/2016,Bank account or service,Checking account,"Account opening, closing, or management",Phone Support,Closed with explanation,Yes,No,CR2249569,C00005642
12/14/2016,Bank account or service,Other bank product/service,"Account opening, closing, or management",Email,Closed with explanation,Yes,No,CR2250123,C00000865
12/7/2016,Credit card,,Closing/Cancelling account,Mobile App,Closed with explanation,Yes,No,CR2239685,C00004125
12/6/2016,Credit card,,Identity theft / Fraud / Embezzlement,Mobile App,Closed with explanation,Yes,Yes,CR2238023,C00004259
12/5/2016,Credit card,,Identity theft / Fraud / Embezzlement,Phone Support,Closed with explanation,Yes,No,CR2236702,C00001188
12/5/2016,Bank account or service,Other bank product/service,"Account opening, closing, or management",Mobile App,Closed with non-monetary relief,Yes,No,CR2235451,C00001955
11/30/2016,Credit card,,Billing disputes,Phone Support,Closed with monetary relief,Yes,No,CR2228854,C00001431
11/30/2016,Bank account or service,Checking account,Deposits and withdrawals,Email,Closed with monetary relief,Yes,No,CR2230146,C00002069
11/28/2016,Credit card,,Payoff process,Email,Closed with non-monetary relief,Yes,No,CR2226204,C00001106
11/25/2016,Credit card,,Identity theft / Fraud / Embezzlement,Phone Support,Closed with explanation,Yes,No,CR2223424,C00004687
11/23/2016,Credit card,,Other,Branch,Closed with monetary relief,Yes,No,CR2221342,C00000866
11/23/2016,Bank account or service,Checking account,"Account opening, closing, or management",Email,Closed with monetary relief,Yes,No,CR2222679,C00001242
11/23/2016,Bank account or service,Other bank product/service,"Account opening, closing, or management",Phone Support,Closed with monetary relief,Yes,No,CR2222223,C00003045
11/22/2016,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",Email,Closed with explanation,Yes,No,CR2220251,C00004221
11/21/2016,Bank account or service,Checking account,Deposits and withdrawals,Email,Closed with explanation,Yes,No,CR2218454,C00003463
11/17/2016,Credit card,,Credit determination,Phone Support,Closed with explanation,Yes,No,CR2214180,C00003150
11/16/2016,Credit card,,Identity theft / Fraud / Embezzlement,Branch,Closed with monetary relief,Yes,No,CR2212245,C00000729
11/16/2016,Bank account or service,Checking account,"Making/receiving payments, sending money",Phone Support,Closed with monetary relief,Yes,No,CR2212620,C00012416
11/15/2016,Credit card,,Identity theft / Fraud / Embezzlement,Email,Closed with explanation,Yes,No,CR2209088,C00003085
11/15/2016,Credit card,,Other,Branch,Closed with explanation,Yes,Yes,CR2209979,C00001771
11/8/2016,Bank account or service,Other bank product/service,"Account opening, closing, or management",Phone Support,Closed with explanation,Yes,No,CR2199697,C00000314
11/3/2016,Bank account or service,Checking account,"Account opening, closing, or management",Phone Support,Closed with explanation,Yes,No,CR2193859,C00004014
11/1/2016,Bank account or service,Other bank product/service,"Account opening, closing, or management",Branch,Closed with explanation,Yes,No,CR2189595,C00003183
10/31/2016,Credit card,,Late fee,Phone Support,Closed with explanation,Yes,No,CR2187824,C00003124
10/28/2016,Credit card,,Other,Branch,Closed with non-monetary relief,Yes,No,CR2184797,C00003736
10/27/2016,Bank account or service,Other bank product/service,"Account opening, closing, or management",Branch,Closed with explanation,Yes,No,CR2182212,C00001954
10/26/2016,Credit card,,Other,Email,Closed with monetary relief,Yes,No,CR2179090,C00002447
10/26/2016,Bank account or service,Other bank product/service,Problems caused by my funds being low,Email,Closed with explanation,Yes,No,CR2181276,C00000773
10/21/2016,Bank account or service,Checking account,Deposits and withdrawals,Mobile App,Closed with explanation,Yes,No,CR2172937,C00009427
10/20/2016,Credit card,,Closing/Cancelling account,Branch,Closed with explanation,Yes,Yes,CR2172002,C00006042
10/20/2016,Credit card,,Billing statement,Phone Support,Closed with explanation,Yes,No,CR2173059,C00005213
10/18/2016,Credit card,,Advertising and marketing,Mobile App,Closed with explanation,Yes,Yes,CR2166955,C00004494
10/18/2016,Bank account or service,Other bank product/service,"Account opening, closing, or management",Branch,Closed with explanation,Yes,No,CR2165760,C00000992
10/13/2016,Credit card,,Identity theft / Fraud / Embezzlement,Email,Closed with monetary relief,Yes,No,CR2159818,C00003350
10/12/2016,Bank account or service,Checking account,"Making/receiving payments, sending money",Branch,Closed with explanation,Yes,No,CR2157111,C00001686
10/11/2016,Credit card,,Credit line increase/decrease,Phone Support,Closed with explanation,Yes,Yes,CR2155262,C00002507
10/7/2016,Credit card,,Credit card protection / Debt protection,Branch,Closed with explanation,Yes,Yes,CR2151317,C00001620
10/6/2016,Credit card,,Identity theft / Fraud / Embezzlement,Branch,Closed with explanation,Yes,No,CR2149200,C00011804
10/6/2016,Bank account or service,Other bank product/service,"Account opening, closing, or management",Mobile App,Closed with explanation,Yes,No,CR2149853,C00012738
9/28/2016,Credit card,,Identity theft / Fraud / Embezzlement,Mobile App,Closed with monetary relief,Yes,No,CR2136255,C00002871
9/27/2016,Credit card,,Credit line increase/decrease,Phone Support,Closed with explanation,Yes,No,CR2135116,C00003215
9/26/2016,Bank account or service,Other bank product/service,"Account opening, closing, or management",Email,Closed with explanation,Yes,No,CR2131993,C00006363
9/26/2016,Bank account or service,Checking account,"Account opening, closing, or management",Phone Support,Closed with monetary relief,Yes,No,CR2130710,C00000981
9/26/2016,Bank account or service,Checking account,"Account opening, closing, or management",Mobile App,Closed with explanation,Yes,No,CR2131061,C00000329
9/21/2016,Credit card,,Delinquent account,Email,Closed with explanation,Yes,No,CR2124247,C00003466
9/21/2016,Credit card,,Billing disputes,Phone Support,Closed with explanation,Yes,Yes,CR2123785,C00004021
9/21/2016,Credit card,,Other,Email,Closed with explanation,Yes,No,CR2123996,C00001728
9/21/2016,Bank account or service,Other bank product/service,"Account opening, closing, or management",Email,Closed with monetary relief,Yes,No,CR2123924,C00002150
9/21/2016,Bank account or service,Other bank product/service,Deposits and withdrawals,Phone Support,Closed with explanation,Yes,No,CR2124296,C00003511
9/21/2016,Bank account or service,Other bank product/service,"Account opening, closing, or management",Email,Closed with explanation,Yes,No,CR2124324,C00000308
